,Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
1525,03/16/1970,16:25:26,-19.159,168.386,Earthquake,15.0,,,5.8,MW,,,,,,,ISCGEM798113,ISCGEM,ISCGEM,ISCGEM,Automatic
1526,03/19/1970,23:33:33,51.411,173.58,Earthquake,23.2,,,6.3,MW,,,,,,,ISCGEM798211,ISCGEM,ISCGEM,ISCGEM,Automatic
1527,03/20/1970,11:07:35,5.008,125.339,Earthquake,50.0,,,5.7,MW,,,,,,,ISCGEM798224,ISCGEM,ISCGEM,ISCGEM,Automatic
1528,03/21/1970,10:09:55,24.126,142.874,Earthquake,20.0,,,5.6,MW,,,,,,,ISCGEM17308392,ISCGEM,ISCGEM,ISCGEM,Automatic
1529,03/23/1970,00:20:55,40.212,140.312,Earthquake,143.4,,,5.7,MW,,,,,,,ISCGEM798303,ISCGEM,ISCGEM,ISCGEM,Automatic
1530,03/23/1970,12:14:55,29.831,129.496,Earthquake,157.4,,,5.7,MW,,,,,,,ISCGEM798320,ISCGEM,ISCGEM,ISCGEM,Automatic
1531,03/24/1970,10:35:19,-22.13,126.691,Earthquake,10.0,,,6.0,MW,,,,,,,ISCGEM798352,ISCGEM,ISCGEM,ISCGEM,Automatic
1532,03/26/1970,19:00:01,37.3005,-116.5341667,Nuclear Explosion,1.2,31.61,16.0,5.54,ML,0.41,10.0,260.0,1.377,99.0,0.35,CI3325031,CI,CI,CI,Reviewed
1533,03/27/1970,18:36:50,0.288,119.364,Earthquake,25.0,,,6.7,MW,,,,,,,ISCGEM798465,ISCGEM,ISCGEM,ISCGEM,Automatic
1534,03/28/1970,07:46:00,-6.253,154.667,Earthquake,60.0,,,6.0,MW,,,,,,,ISCGEM798488,ISCGEM,ISCGEM,ISCGEM,Automatic
1535,03/28/1970,21:02:26,39.098,29.57,Earthquake,25.0,,,6.9,MW,,,,,,,ISCGEM798506,ISCGEM,ISCGEM,ISCGEM,Automatic
1536,03/29/1970,10:08:21,-17.07,168.634,Earthquake,237.2,,,6.6,MW,,,,,,,ISCGEM798577,ISCGEM,ISCGEM,ISCGEM,Automatic
1537,03/30/1970,16:46:44,6.754,126.451,Earthquake,50.0,,,6.8,MW,,,,,,,ISCGEM798643,ISCGEM,ISCGEM,ISCGEM,Automatic
1538,03/31/1970,08:50:14,-5.632,-80.2,Earthquake,73.1,,,5.7,MW,,,,,,,ISCGEM798680,ISCGEM,ISCGEM,ISCGEM,Automatic
1539,03/31/1970,18:18:26,-3.629,69.61,Earthquake,20.0,,,5.9,MW,,,,,,,ISCGEM798689,ISCGEM,ISCGEM,ISCGEM,Automatic
1540,04/01/1970,14:23:24,39.817,141.944,Earthquake,65.0,,,5.7,MW,,,,,,,ISCGEM796196,ISCGEM,ISCGEM,ISCGEM,Automatic
1541,04/02/1970,11:11:41,-20.277,-173.861,Earthquake,15.0,,,5.9,MW,,,,,,,ISCGEM796214,ISCGEM,ISCGEM,ISCGEM,Automatic
1542,04/03/1970,06:52:33,-20.666,-173.859,Earthquake,25.0,,,6.0,MW,,,,,,,ISCGEM796237,ISCGEM,ISCGEM,ISCGEM,Automatic
1543,04/07/1970,05:34:06,15.791,121.63,Earthquake,25.0,,,7.4,MW,,,,,,,ISCGEM796378,ISCGEM,ISCGEM,ISCGEM,Automatic
1544,04/07/1970,06:11:54,15.662,121.852,Earthquake,25.0,,,5.6,MW,,,,,,,ISCGEM796381,ISCGEM,ISCGEM,ISCGEM,Automatic
